127.0.0.1, 2016-06-22 19:11:20, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2016-06-22 19:11:20, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.046000
127.0.0.1, 2016-06-22 19:11:20, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.072000
127.0.0.1, 2016-06-22 19:11:20, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.061000
127.0.0.1, 2016-06-22 19:11:20, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 200, 0.122000
127.0.0.1, 2016-06-22 19:11:20, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.285000
127.0.0.1, 2016-06-22 19:11:20, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.019000
127.0.0.1, 2016-06-22 19:11:20, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.027000
127.0.0.1, 2016-06-22 19:11:20, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2016-06-22 19:11:21, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.302000
127.0.0.1, 2016-06-22 19:11:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.393000
127.0.0.1, 2016-06-22 19:11:21, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.398000
127.0.0.1, 2016-06-22 19:11:21, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.587000
127.0.0.1, 2016-06-22 19:11:21, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.631000
127.0.0.1, 2016-06-22 19:11:21, GET, /admin/static/_2.14.6/images/save_icon.png, HTTP/1.1, 200, 0.067000
127.0.0.1, 2016-06-22 19:11:22, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.600000
127.0.0.1, 2016-06-22 19:11:32, GET, /welcome/default/index, HTTP/1.1, 200, 1.088000
127.0.0.1, 2016-06-22 19:11:35, GET, /welcome/default/index, HTTP/1.1, 200, 1.125000
127.0.0.1, 2016-06-22 19:11:39, GET, /admin/default/site, HTTP/1.1, 200, 0.092000
127.0.0.1, 2016-06-22 19:11:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-22 19:11:44, GET, /Atento_Brigada/default/index, HTTP/1.1, 500, 3.924000
127.0.0.1, 2016-06-22 19:11:45, GET, /Atento_Brigada/default/index, HTTP/1.1, 500, 2.568000
127.0.0.1, 2016-06-22 19:11:46, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-22 19:11:47, GET, /admin/default/ticket/Atento_Brigada/127.0.0.1.2016-06-22.19-11-43.b4e8b930-681a-4975-92c0-3368b8f8a879, HTTP/1.1, 200, 0.215000
127.0.0.1, 2016-06-22 19:11:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-22 19:14:09, GET, /Atento_Brigada/default/index, HTTP/1.1, 500, 6.520000
127.0.0.1, 2016-06-22 19:14:09, GET, /favicon.ico, HTTP/1.1, 400, 0.003000
127.0.0.1, 2016-06-22 19:14:11, GET, /admin/default/ticket/Atento_Brigada/127.0.0.1.2016-06-22.19-14-03.30a3ae96-2e2f-4efd-be10-16f0ca9e4205, HTTP/1.1, 200, 0.201000
127.0.0.1, 2016-06-22 19:14:12, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-22 19:16:33, GET, /Atento_Brigada/default/index, HTTP/1.1, 500, 0.999000
127.0.0.1, 2016-06-22 19:16:33, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-22 19:16:34, GET, /admin/default/ticket/Atento_Brigada/127.0.0.1.2016-06-22.19-16-32.6da41d59-3dd9-4a83-a5ee-4c59da3bb5b4, HTTP/1.1, 200, 0.262000
127.0.0.1, 2016-06-22 19:16:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-22 19:20:25, GET, /, HTTP/1.1, 303, 0.163000
127.0.0.1, 2016-06-22 19:20:27, GET, /welcome/default/index, HTTP/1.1, 200, 1.663000
127.0.0.1, 2016-06-22 19:20:31, GET, /admin/default/site, HTTP/1.1, 303, 0.868000
127.0.0.1, 2016-06-22 19:20:31, GET, /admin/default/index, HTTP/1.1, 200, 0.130000
127.0.0.1, 2016-06-22 19:20:32, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-22 19:20:33, POST, /admin/default/index, HTTP/1.1, 303, 0.093000
127.0.0.1, 2016-06-22 19:20:34, GET, /admin/default/site, HTTP/1.1, 200, 0.167000
127.0.0.1, 2016-06-22 19:20:34, POST, /admin/default/check_version, HTTP/1.1, 200, 0.477000
127.0.0.1, 2016-06-22 19:20:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
